
KEYWORD: Token(class, 'class', Line:Pos=(1, 6))
ID: Token(ID, 'test', Line:Pos=(1, 11))
CURLY_OPEN: Token({, '{', Line:Pos=(1, 12))
KEYWORD: Token(int, 'int', Line:Pos=(2, 8))
ID: Token(ID, 'v', Line:Pos=(2, 10))
SEMI_COLON: Token(;, ';', Line:Pos=(2, 11))
KEYWORD: Token(float, 'float', Line:Pos=(3, 10))
ID: Token(ID, 'rr', Line:Pos=(3, 13))
SQUARE_OPEN: Token([, '[', Line:Pos=(3, 14))
INT: Token(INT, '20', Line:Pos=(3, 16))
SQUARE_CLOSE: Token(], ']', Line:Pos=(3, 17))
SQUARE_OPEN: Token([, '[', Line:Pos=(3, 18))
INT: Token(INT, '10', Line:Pos=(3, 20))
SQUARE_CLOSE: Token(], ']', Line:Pos=(3, 21))
SQUARE_OPEN: Token([, '[', Line:Pos=(3, 22))
INT: Token(INT, '5', Line:Pos=(3, 23))
SQUARE_CLOSE: Token(], ']', Line:Pos=(3, 24))
SEMI_COLON: Token(;, ';', Line:Pos=(3, 25))
KEYWORD: Token(float, 'float', Line:Pos=(4, 10))
ID: Token(ID, 'tit', Line:Pos=(4, 14))
SEMI_COLON: Token(;, ';', Line:Pos=(4, 15))
ID: Token(ID, 'Other', Line:Pos=(5, 10))
ID: Token(ID, 'one', Line:Pos=(5, 14))
SQUARE_OPEN: Token([, '[', Line:Pos=(5, 15))
INT: Token(INT, '1', Line:Pos=(5, 16))
SQUARE_CLOSE: Token(], ']', Line:Pos=(5, 17))
SQUARE_OPEN: Token([, '[', Line:Pos=(5, 18))
INT: Token(INT, '1', Line:Pos=(5, 19))
SQUARE_CLOSE: Token(], ']', Line:Pos=(5, 20))
SEMI_COLON: Token(;, ';', Line:Pos=(5, 21))
KEYWORD: Token(int, 'int', Line:Pos=(7, 8))
ID: Token(ID, 'dupFunc', Line:Pos=(7, 16))
BRACKET_OPEN: Token((, '(', Line:Pos=(7, 17))
BRACKET_CLOSE: Token(), ')', Line:Pos=(7, 18))
CURLY_OPEN: Token({, '{', Line:Pos=(7, 19))
CURLY_CLOSE: Token(}, '}', Line:Pos=(7, 20))
SEMI_COLON: Token(;, ';', Line:Pos=(7, 21))
KEYWORD: Token(int, 'int', Line:Pos=(9, 8))
ID: Token(ID, 'findMax', Line:Pos=(9, 16))
BRACKET_OPEN: Token((, '(', Line:Pos=(9, 17))
KEYWORD: Token(int, 'int', Line:Pos=(9, 20))
ID: Token(ID, 'i', Line:Pos=(9, 22))
COMMA: Token(,, ',', Line:Pos=(9, 23))
KEYWORD: Token(float, 'float', Line:Pos=(9, 29))
ID: Token(ID, 'u', Line:Pos=(9, 31))
SQUARE_OPEN: Token([, '[', Line:Pos=(9, 32))
INT: Token(INT, '2', Line:Pos=(9, 33))
